id;time;image;response;session;delay
79;2020-01-30 18:30:53;vae_1.png;0;f6a160838c61fe2f31d502656a5393ba;00:00:03
80;2020-01-30 18:30:57;style_2.jpg;0;f6a160838c61fe2f31d502656a5393ba;00:00:04
81;2020-01-30 18:31:00;no_vae_0.png;1;f6a160838c61fe2f31d502656a5393ba;00:00:03
82;2020-01-30 18:31:03;vae_0.png;1;f6a160838c61fe2f31d502656a5393ba;00:00:03
83;2020-01-30 18:31:06;style_0.jpg;1;f6a160838c61fe2f31d502656a5393ba;00:00:03
84;2020-01-30 18:31:09;no_vae_3.png;0;f6a160838c61fe2f31d502656a5393ba;00:00:03
85;2020-01-30 18:31:13;style_1.jpg;0;f6a160838c61fe2f31d502656a5393ba;00:00:04
86;2020-01-30 18:31:15;no_vae_1.png;1;f6a160838c61fe2f31d502656a5393ba;00:00:02
87;2020-01-30 18:31:18;vae_4.png;0;f6a160838c61fe2f31d502656a5393ba;00:00:03
88;2020-01-30 18:32:02;no_vae_2.png;0;de72c437e60b753e1557244c5a1d8720;00:00:05
89;2020-01-30 18:32:07;no_vae_3.png;0;de72c437e60b753e1557244c5a1d8720;00:00:05
90;2020-01-30 18:32:12;style_1.jpg;1;de72c437e60b753e1557244c5a1d8720;00:00:05
91;2020-01-30 18:32:16;style_3.jpg;1;de72c437e60b753e1557244c5a1d8720;00:00:04
92;2020-01-30 18:32:22;vae_2.png;0;de72c437e60b753e1557244c5a1d8720;00:00:06
93;2020-01-30 18:32:26;vae_3.png;1;de72c437e60b753e1557244c5a1d8720;00:00:04
94;2020-01-30 18:32:31;vae_1.png;0;de72c437e60b753e1557244c5a1d8720;00:00:05
95;2020-01-30 18:32:34;style_0.jpg;1;de72c437e60b753e1557244c5a1d8720;00:00:03
96;2020-01-30 18:32:39;style_2.jpg;0;de72c437e60b753e1557244c5a1d8720;00:00:05
97;2020-01-30 18:32:39;no_vae_1.png;0;3f136bbe6f53e0720ec58c6fe2f4510f;00:00:04
98;2020-01-30 18:32:43;vae_0.png;1;de72c437e60b753e1557244c5a1d8720;00:00:04
99;2020-01-30 18:32:44;no_vae_2.png;1;3f136bbe6f53e0720ec58c6fe2f4510f;00:00:05
100;2020-01-30 18:32:47;no_vae_1.png;1;de72c437e60b753e1557244c5a1d8720;00:00:04
101;2020-01-30 18:32:49;no_vae_4.png;1;3f136bbe6f53e0720ec58c6fe2f4510f;00:00:05
102;2020-01-30 18:32:52;vae_4.png;1;de72c437e60b753e1557244c5a1d8720;00:00:05
103;2020-01-30 18:32:55;style_0.jpg;1;3f136bbe6f53e0720ec58c6fe2f4510f;00:00:06
104;2020-01-30 18:32:56;no_vae_4.png;0;de72c437e60b753e1557244c5a1d8720;00:00:04
105;2020-01-30 18:32:59;vae_3.png;0;3f136bbe6f53e0720ec58c6fe2f4510f;00:00:04
106;2020-01-30 18:33:00;no_vae_0.png;0;de72c437e60b753e1557244c5a1d8720;00:00:04
107;2020-01-30 18:33:04;vae_4.png;1;3f136bbe6f53e0720ec58c6fe2f4510f;00:00:05
108;2020-01-30 18:33:04;style_4.jpg;1;de72c437e60b753e1557244c5a1d8720;00:00:04
109;2020-01-30 18:33:09;style_2.jpg;0;3f136bbe6f53e0720ec58c6fe2f4510f;00:00:05
110;2020-01-30 18:33:13;vae_0.png;1;3f136bbe6f53e0720ec58c6fe2f4510f;00:00:04
111;2020-01-30 18:33:17;no_vae_3.png;0;3f136bbe6f53e0720ec58c6fe2f4510f;00:00:04
112;2020-01-30 18:33:22;style_4.jpg;0;3f136bbe6f53e0720ec58c6fe2f4510f;00:00:05
113;2020-01-30 18:33:26;no_vae_0.png;1;3f136bbe6f53e0720ec58c6fe2f4510f;00:00:04
114;2020-01-30 18:33:30;vae_2.png;1;3f136bbe6f53e0720ec58c6fe2f4510f;00:00:04
115;2020-01-30 18:33:35;style_1.jpg;1;3f136bbe6f53e0720ec58c6fe2f4510f;00:00:05
116;2020-01-30 18:33:38;style_3.jpg;0;3f136bbe6f53e0720ec58c6fe2f4510f;00:00:03
117;2020-01-30 18:33:41;vae_1.png;0;3f136bbe6f53e0720ec58c6fe2f4510f;00:00:03
118;2020-01-30 18:35:45;no_vae_0.png;0;cde79c7690c9aacc2bdc485f9e458a22;00:00:04
119;2020-01-30 18:35:46;no_vae_3.png;1;cde79c7690c9aacc2bdc485f9e458a22;00:00:01
120;2020-01-30 18:35:49;style_1.jpg;0;cde79c7690c9aacc2bdc485f9e458a22;00:00:03
121;2020-01-30 18:35:54;style_2.jpg;0;cde79c7690c9aacc2bdc485f9e458a22;00:00:05
122;2020-01-30 18:35:58;style_3.jpg;1;cde79c7690c9aacc2bdc485f9e458a22;00:00:04
123;2020-01-30 18:35:59;style_4.jpg;1;cde79c7690c9aacc2bdc485f9e458a22;00:00:01
124;2020-01-30 18:36:03;vae_0.png;1;cde79c7690c9aacc2bdc485f9e458a22;00:00:04
125;2020-01-30 18:36:06;no_vae_4.png;1;cde79c7690c9aacc2bdc485f9e458a22;00:00:03
126;2020-01-30 18:36:09;vae_1.png;1;cde79c7690c9aacc2bdc485f9e458a22;00:00:03
127;2020-01-30 18:36:12;vae_4.png;0;cde79c7690c9aacc2bdc485f9e458a22;00:00:03
128;2020-01-30 18:36:13;style_0.jpg;0;cde79c7690c9aacc2bdc485f9e458a22;00:00:01
129;2020-01-30 18:36:15;no_vae_1.png;0;cde79c7690c9aacc2bdc485f9e458a22;00:00:02
130;2020-01-30 18:36:16;vae_2.png;1;cde79c7690c9aacc2bdc485f9e458a22;00:00:01
131;2020-01-30 18:36:20;no_vae_2.png;0;cde79c7690c9aacc2bdc485f9e458a22;00:00:04
132;2020-01-30 18:36:21;vae_3.png;1;cde79c7690c9aacc2bdc485f9e458a22;00:00:01
133;2020-01-30 18:36:49;no_vae_2.png;1;5187f72548b86c45ce8b0c7bc1b9aa33;00:00:06
134;2020-01-30 18:36:53;no_vae_3.png;0;5187f72548b86c45ce8b0c7bc1b9aa33;00:00:04
135;2020-01-30 18:36:58;style_2.jpg;1;5187f72548b86c45ce8b0c7bc1b9aa33;00:00:05
136;2020-01-30 18:37:01;vae_0.png;1;5187f72548b86c45ce8b0c7bc1b9aa33;00:00:03
137;2020-01-30 18:37:04;vae_1.png;0;5187f72548b86c45ce8b0c7bc1b9aa33;00:00:03
138;2020-01-30 18:37:07;style_0.jpg;0;5187f72548b86c45ce8b0c7bc1b9aa33;00:00:03
139;2020-01-30 18:37:09;style_3.jpg;0;5187f72548b86c45ce8b0c7bc1b9aa33;00:00:02
